carrier,origin,dest,month,scheduled_flights,cancelled_flights
AI,GOI,BOM,5,37,0.984
AI,GOI,BOM,6,41,1.325
AI,GOI,BOM,7,39,1.682
AI,GOI,BOM,8,36,1.291
AI,GOI,BOM,9,43,1.554
AI,GOI,BOM,10,39,0.841
AI,GOI,BOM,11,41,0.913
AI,GOI,BOM,12,43,0.848
AI,DEL,CCU,1,37,1.448
AI,DEL,CCU,2,34,0.988
AI,DEL,CCU,3,34,0.739
AI,DEL,CCU,4,34,0.779
AI,DEL,CCU,5,32,0.714
AI,DEL,CCU,6,34,0.999
AI,DEL,CCU,7,32,0.894
AI,DEL,CCU,8,36,0.962
AI,DEL,CCU,9,38,0.92
AI,DEL,CCU,10,33,0.931
AI,DEL,CCU,11,33,0.948
AI,DEL,CCU,12,32,1.096
AI,CCU,DEL,1,36,0.955
AI,CCU,DEL,2,37,0.948
AI,CCU,DEL,3,32,0.686
AI,CCU,DEL,4,34,0.832
AI,CCU,DEL,5,37,0.802
AI,CCU,DEL,6,36,1.003
AI,CCU,DEL,7,34,1.031
AI,CCU,DEL,8,33,0.831
AI,CCU,DEL,9,37,1.056
AI,CCU,DEL,10,38,1.071
AI,CCU,DEL,11,36,0.9
AI,CCU,DEL,12,37,1.292
AI,DEL,HYD,1,40,1.617
AI,DEL,HYD,2,40,1.115
AI,DEL,HYD,3,44,0.991
AI,DEL,HYD,4,43,0.927
AI,DEL,HYD,5,40,0.936
AI,DEL,HYD,6,40,1.045
AI,DEL,HYD,7,38,1.019
AI,DEL,HYD,8,39,1.058
AI,DEL,HYD,9,44,0.868
AI,DEL,HYD,10,37,0.835
AI,DEL,HYD,11,38,0.858
AI,DEL,HYD,12,41,1.458
AI,HYD,DEL,1,43,1.439
AI,HYD,DEL,2,39,1.159
AI,HYD,DEL,3,41,0.859
AI,HYD,DEL,4,38,0.961
AI,HYD,DEL,5,40,0.938
AI,HYD,DEL,6,42,0.959
AI,HYD,DEL,7,40,1.071
AI,HYD,DEL,8,41,0.944
AI,HYD,DEL,9,40,0.961
AI,HYD,DEL,10,38,0.82
AI,HYD,DEL,11,43,1.148
AI,HYD,DEL,12,43,1.416
AI,BOM,BLR,1,59,1.406
AI,BOM,BLR,2,53,1.05
AI,BOM,BLR,3,60,1.145
AI,BOM,BLR,4,50,1.18
AI,BOM,BLR,5,58,1.322
AI,BOM,BLR,6,57,1.761
AI,BOM,BLR,7,60,2.236
AI,BOM,BLR,8,60,1.723
AI,BOM,BLR,9,52,1.276
AI,BOM,BLR,10,51,1.326
AI,BOM,BLR,11,54,1.181
AI,BOM,BLR,12,53,1.172
AI,BLR,BOM,1,60,1.382
AI,BLR,BOM,2,55,1.29
AI,BLR,BOM,3,53,1.304
AI,BLR,BOM,4,59,1.446
AI,BLR,BOM,5,52,1.079
AI,BLR,BOM,6,55,1.544
AI,BLR,BOM,7,57,1.936
AI,BLR,BOM,8,58,1.885
AI,BLR,BOM,9,59,1.665
AI,BLR,BOM,10,57,1.21
AI,BLR,BOM,11,56,1.065
AI,BLR,BOM,12,53,1.161
AI,MAA,GOI,1,22,0.511
AI,MAA,GOI,2,18,0.42
AI,MAA,GOI,3,21,0.504
AI,MAA,GOI,4,20,0.435
AI,MAA,GOI,5,21,0.49
AI,MAA,GOI,6,21,0.525
AI,MAA,GOI,7,18,0.577
AI,MAA,GOI,8,20,0.628
AI,MAA,GOI,9,19,0.495
AI,MAA,GOI,10,18,0.529
AI,MAA,GOI,11,21,0.674
AI,MAA,GOI,12,18,0.465
AI,GOI,MAA,1,22,0.499
AI,GOI,MAA,2,20,0.482
AI,GOI,MAA,3,19,0.454
AI,GOI,MAA,4,20,0.451
AI,GOI,MAA,5,22,0.488
AI,GOI,MAA,6,20,0.566
AI,GOI,MAA,7,18,0.52
AI,GOI,MAA,8,19,0.555
AI,GOI,MAA,9,22,0.59
AI,GOI,MAA,10,21,0.513
AI,GOI,MAA,11,20,0.537
AI,GOI,MAA,12,20,0.492
6E,MAA,DEL,1,63,1.009
6E,MAA,DEL,2,57,0.819
6E,MAA,DEL,3,60,0.62
6E,MAA,DEL,4,61,0.735
6E,MAA,DEL,5,55,0.662
6E,MAA,DEL,6,56,0.633
6E,MAA,DEL,7,61,0.755
6E,MAA,DEL,8,63,0.814
6E,MAA,DEL,9,57,0.626
6E,MAA,DEL,10,55,0.675
6E,MAA,DEL,11,55,0.761
6E,MAA,DEL,12,64,1.115
6E,DEL,MAA,1,61,0.979
6E,DEL,MAA,2,56,0.804
6E,DEL,MAA,3,59,0.65
6E,DEL,MAA,4,61,0.726
6E,DEL,MAA,5,65,0.639
6E,DEL,MAA,6,56,0.627
6E,DEL,MAA,7,63,0.774
6E,DEL,MAA,8,64,0.68
6E,DEL,MAA,9,63,0.82
6E,DEL,MAA,10,54,0.62
6E,DEL,MAA,11,56,0.947
6E,DEL,MAA,12,58,0.937
6E,BOM,DEL,1,98,1.407
6E,BOM,DEL,2,87,1.203
6E,BOM,DEL,3,96,0.988
6E,BOM,DEL,4,94,1.042
6E,BOM,DEL,5,98,1.297
6E,BOM,DEL,6,87,1.384
6E,BOM,DEL,7,82,1.346
6E,BOM,DEL,8,85,1.448
6E,BOM,DEL,9,94,1.13
6E,BOM,DEL,10,94,0.964
6E,BOM,DEL,11,93,0.986
6E,BOM,DEL,12,95,1.565
6E,DEL,BOM,1,88,1.765
6E,DEL,BOM,2,95,1.337
6E,DEL,BOM,3,87,1.023
6E,DEL,BOM,4,83,0.921
6E,DEL,BOM,5,96,1.154
6E,DEL,BOM,6,95,1.134
6E,DEL,BOM,7,81,1.035
6E,DEL,BOM,8,89,1.201
6E,DEL,BOM,9,96,1.279
6E,DEL,BOM,10,98,1.172
6E,DEL,BOM,11,89,1.191
6E,DEL,BOM,12,85,1.464
6E,DEL,BLR,1,69,1.229
6E,DEL,BLR,2,69,0.887
6E,DEL,BLR,3,67,0.844
6E,DEL,BLR,4,69,0.744
6E,DEL,BLR,5,68,0.734
6E,DEL,BLR,6,65,0.792
6E,DEL,BLR,7,70,0.926
6E,DEL,BLR,8,65,0.762
6E,DEL,BLR,9,68,0.889
6E,DEL,BLR,10,68,0.639
6E,DEL,BLR,11,76,0.974
6E,DEL,BLR,12,77,1.192
6E,BLR,DEL,1,77,1.118
6E,BLR,DEL,2,70,0.802
6E,BLR,DEL,3,76,0.743
6E,BLR,DEL,4,67,0.785
6E,BLR,DEL,5,63,0.667
6E,BLR,DEL,6,70,0.756
6E,BLR,DEL,7,68,0.959
6E,BLR,DEL,8,63,0.693
6E,BLR,DEL,9,66,0.821
6E,BLR,DEL,10,69,0.684
6E,BLR,DEL,11,65,0.837
6E,BLR,DEL,12,66,0.956
6E,BLR,MAA,1,44,0.501
6E,BLR,MAA,2,47,0.464
6E,BLR,MAA,3,48,0.536
6E,BLR,MAA,4,43,0.449
6E,BLR,MAA,5,49,0.575
6E,BLR,MAA,6,48,0.665
6E,BLR,MAA,7,44,0.522
6E,BLR,MAA,8,44,0.461
6E,BLR,MAA,9,48,0.519
6E,BLR,MAA,10,45,0.524
6E,BLR,MAA,11,42,0.531
6E,BLR,MAA,12,43,0.52
6E,MAA,BLR,1,48,0.496
6E,MAA,BLR,2,47,0.547
6E,MAA,BLR,3,47,0.588
6E,MAA,BLR,4,47,0.481
6E,MAA,BLR,5,45,0.431
6E,MAA,BLR,6,45,0.547
6E,MAA,BLR,7,45,0.497
6E,MAA,BLR,8,42,0.459
6E,MAA,BLR,9,49,0.535
6E,MAA,BLR,10,45,0.713
6E,MAA,BLR,11,48,0.601
6E,MAA,BLR,12,41,0.529
6E,BOM,GOI,1,37,0.416
6E,BOM,GOI,2,39,0.467
6E,BOM,GOI,3,40,0.49
6E,BOM,GOI,4,43,0.502
6E,BOM,GOI,5,40,0.438
6E,BOM,GOI,6,38,0.583
6E,BOM,GOI,7,38,0.729
6E,BOM,GOI,8,40,0.783
6E,BOM,GOI,9,42,0.681
6E,BOM,GOI,10,42,0.468
6E,BOM,GOI,11,39,0.389
6E,BOM,GOI,12,36,0.422
6E,GOI,BOM,1,41,0.473
6E,GOI,BOM,2,41,0.499
6E,GOI,BOM,3,43,0.407
6E,GOI,BOM,4,44,0.436
6E,GOI,BOM,5,42,0.572
6E,GOI,BOM,6,43,0.84
6E,GOI,BOM,7,42,0.743
6E,GOI,BOM,8,37,0.624
6E,GOI,BOM,9,43,0.709
6E,GOI,BOM,10,40,0.496
6E,GOI,BOM,11,39,0.426
6E,GOI,BOM,12,40,0.468
6E,DEL,CCU,1,38,0.662
6E,DEL,CCU,2,36,0.584
6E,DEL,CCU,3,33,0.388
6E,DEL,CCU,4,36,0.434
6E,DEL,CCU,5,36,0.445
6E,DEL,CCU,6,37,0.455
6E,DEL,CCU,7,35,0.544
6E,DEL,CCU,8,34,0.396
6E,DEL,CCU,9,35,0.435
6E,DEL,CCU,10,38,0.463
6E,DEL,CCU,11,36,0.467
6E,DEL,CCU,12,36,0.657
6E,CCU,DEL,1,32,0.548
6E,CCU,DEL,2,32,0.37
6E,CCU,DEL,3,38,0.43
6E,CCU,DEL,4,37,0.381
6E,CCU,DEL,5,34,0.434
6E,CCU,DEL,6,34,0.522
6E,CCU,DEL,7,37,0.484
6E,CCU,DEL,8,33,0.475
6E,CCU,DEL,9,37,0.45
6E,CCU,DEL,10,36,0.471
6E,CCU,DEL,11,35,0.49
6E,CCU,DEL,12,32,0.442
6E,DEL,HYD,1,44,0.713
6E,DEL,HYD,2,38,0.548
6E,DEL,HYD,3,39,0.476
6E,DEL,HYD,4,42,0.418
6E,DEL,HYD,5,44,0.549
6E,DEL,HYD,6,40,0.542
6E,DEL,HYD,7,42,0.451
6E,DEL,HYD,8,40,0.555
6E,DEL,HYD,9,37,0.459
6E,DEL,HYD,10,37,0.397
6E,DEL,HYD,11,40,0.473
6E,DEL,HYD,12,37,0.67
6E,HYD,DEL,1,41,0.688
6E,HYD,DEL,2,42,0.553
6E,HYD,DEL,3,43,0.517
6E,HYD,DEL,4,37,0.38
6E,HYD,DEL,5,38,0.466
6E,HYD,DEL,6,40,0.536
6E,HYD,DEL,7,39,0.471
6E,HYD,DEL,8,39,0.423
6E,HYD,DEL,9,41,0.405
6E,HYD,DEL,10,44,0.513
6E,HYD,DEL,11,41,0.458
6E,HYD,DEL,12,38,0.624
6E,BOM,BLR,1,54,0.678
6E,BOM,BLR,2,56,0.703
6E,BOM,BLR,3,59,0.645
6E,BOM,BLR,4,58,0.633
6E,BOM,BLR,5,51,0.644
6E,BOM,BLR,6,54,0.818
6E,BOM,BLR,7,59,0.877
6E,BOM,BLR,8,55,0.934
6E,BOM,BLR,9,55,0.851
6E,BOM,BLR,10,60,0.688
6E,BOM,BLR,11,55,0.592
6E,BOM,BLR,12,51,0.498
6E,BLR,BOM,1,53,0.643
6E,BLR,BOM,2,59,0.713
6E,BLR,BOM,3,58,0.577
6E,BLR,BOM,4,57,0.538
6E,BLR,BOM,5,54,0.667
6E,BLR,BOM,6,53,0.725
6E,BLR,BOM,7,54,0.723
6E,BLR,BOM,8,50,0.683
6E,BLR,BOM,9,59,0.723
6E,BLR,BOM,10,57,0.691
6E,BLR,BOM,11,50,0.578
6E,BLR,BOM,12,57,0.609
6E,MAA,GOI,1,22,0.234
6E,MAA,GOI,2,20,0.207
6E,MAA,GOI,3,21,0.264
6E,MAA,GOI,4,18,0.223
6E,MAA,GOI,5,21,0.213
6E,MAA,GOI,6,20,0.308
6E,MAA,GOI,7,22,0.306
6E,MAA,GOI,8,18,0.226
6E,MAA,GOI,9,20,0.244
6E,MAA,GOI,10,19,0.286
6E,MAA,GOI,11,19,0.272
6E,MAA,GOI,12,20,0.278
6E,GOI,MAA,1,22,0.24
6E,GOI,MAA,2,20,0.203
6E,GOI,MAA,3,20,0.231
6E,GOI,MAA,4,19,0.2
6E,GOI,MAA,5,19,0.19
6E,GOI,MAA,6,22,0.309
6E,GOI,MAA,7,18,0.309
6E,GOI,MAA,8,19,0.336
6E,GOI,MAA,9,19,0.312
6E,GOI,MAA,10,18,0.257
6E,GOI,MAA,11,20,0.231
6E,GOI,MAA,12,20,0.241
UK,MAA,DEL,1,59,1.295
UK,MAA,DEL,2,57,1.087
UK,MAA,DEL,3,58,0.772
UK,MAA,DEL,4,56,0.802
UK,MAA,DEL,5,61,0.842
UK,MAA,DEL,6,64,1.001
UK,MAA,DEL,7,57,0.823
UK,MAA,DEL,8,58,0.814
UK,MAA,DEL,9,56,0.749
UK,MAA,DEL,10,64,1.276
UK,MAA,DEL,11,60,1.11
UK,MAA,DEL,12,55,1.376
UK,DEL,MAA,1,63,1.432
UK,DEL,MAA,2,56,1.165
UK,DEL,MAA,3,56,0.861
UK,DEL,MAA,4,57,0.839
UK,DEL,MAA,5,56,0.755
UK,DEL,MAA,6,54,0.699
UK,DEL,MAA,7,66,0.931
UK,DEL,MAA,8,59,0.761
UK,DEL,MAA,9,61,0.889
UK,DEL,MAA,10,59,0.943
UK,DEL,MAA,11,57,1.139
UK,DEL,MAA,12,64,1.526
UK,BOM,DEL,1,86,1.48
UK,BOM,DEL,2,82,1.529
UK,BOM,DEL,3,96,1.447
UK,BOM,DEL,4,93,1.332
UK,BOM,DEL,5,86,1.288
UK,BOM,DEL,6,81,1.336
UK,BOM,DEL,7,94,1.895
UK,BOM,DEL,8,91,1.628
UK,BOM,DEL,9,95,1.542
UK,BOM,DEL,10,94,1.417
UK,BOM,DEL,11,93,1.274
UK,BOM,DEL,12,96,1.691
UK,DEL,BOM,1,99,1.988
UK,DEL,BOM,2,91,1.692
UK,DEL,BOM,3,95,1.407
UK,DEL,BOM,4,92,1.285
UK,DEL,BOM,5,95,1.284
UK,DEL,BOM,6,97,1.937
UK,DEL,BOM,7,84,1.372
UK,DEL,BOM,8,92,1.817
UK,DEL,BOM,9,92,1.306
UK,DEL,BOM,10,87,1.11
UK,DEL,BOM,11,88,1.464
UK,DEL,BOM,12,96,2.062
UK,DEL,BLR,1,68,1.394
UK,DEL,BLR,2,69,1.372
UK,DEL,BLR,3,68,1.025
UK,DEL,BLR,4,67,0.938
UK,DEL,BLR,5,63,0.977
UK,DEL,BLR,6,74,1.085
UK,DEL,BLR,7,70,1.112
UK,DEL,BLR,8,75,1.352
UK,DEL,BLR,9,73,1.038
UK,DEL,BLR,10,69,0.824
UK,DEL,BLR,11,77,1.364
UK,DEL,BLR,12,76,1.418
UK,BLR,DEL,1,72,1.564
UK,BLR,DEL,2,72,1.243
UK,BLR,DEL,3,70,0.937
UK,BLR,DEL,4,75,1.169
UK,BLR,DEL,5,76,0.944
UK,BLR,DEL,6,67,1.093
UK,BLR,DEL,7,70,1.083
UK,BLR,DEL,8,75,1.36
UK,BLR,DEL,9,73,1.106
UK,BLR,DEL,10,76,1.14
UK,BLR,DEL,11,74,1.178
UK,BLR,DEL,12,77,1.662
UK,BLR,MAA,1,44,0.564
UK,BLR,MAA,2,42,0.639
UK,BLR,MAA,3,47,0.691
UK,BLR,MAA,4,43,0.562
UK,BLR,MAA,5,46,0.675
UK,BLR,MAA,6,48,0.703
UK,BLR,MAA,7,49,0.769
UK,BLR,MAA,8,42,0.703
UK,BLR,MAA,9,48,0.705
UK,BLR,MAA,10,46,0.713
UK,BLR,MAA,11,48,0.708
UK,BLR,MAA,12,44,0.662
UK,MAA,BLR,1,48,0.677
UK,MAA,BLR,2,43,0.549
UK,MAA,BLR,3,45,0.705
UK,MAA,BLR,4,43,0.654
UK,MAA,BLR,5,49,0.693
UK,MAA,BLR,6,41,0.643
UK,MAA,BLR,7,43,0.746
UK,MAA,BLR,8,46,0.666
UK,MAA,BLR,9,47,0.649
UK,MAA,BLR,10,49,0.997
UK,MAA,BLR,11,42,0.897
UK,MAA,BLR,12,41,0.72
UK,BOM,GOI,1,43,0.568
UK,BOM,GOI,2,41,0.552
UK,BOM,GOI,3,38,0.496
UK,BOM,GOI,4,40,0.586
UK,BOM,GOI,5,36,0.553
UK,BOM,GOI,6,38,0.767
UK,BOM,GOI,7,43,1.15
UK,BOM,GOI,8,36,0.753
UK,BOM,GOI,9,41,0.713
UK,BOM,GOI,10,42,0.566
UK,BOM,GOI,11,39,0.555
UK,BOM,GOI,12,43,0.678
UK,GOI,BOM,1,43,0.547
UK,GOI,BOM,2,42,0.647
UK,GOI,BOM,3,39,0.543
UK,GOI,BOM,4,41,0.526
UK,GOI,BOM,5,42,0.55
UK,GOI,BOM,6,43,1.107
UK,GOI,BOM,7,38,0.806
UK,GOI,BOM,8,41,0.971
UK,GOI,BOM,9,36,0.727
UK,GOI,BOM,10,43,0.619
UK,GOI,BOM,11,43,0.581
UK,GOI,BOM,12,43,0.582
UK,DEL,CCU,1,37,0.806
UK,DEL,CCU,2,37,0.601
UK,DEL,CCU,3,37,0.564
UK,DEL,CCU,4,37,0.564
UK,DEL,CCU,5,35,0.432
UK,DEL,CCU,6,34,0.616
UK,DEL,CCU,7,35,0.555
UK,DEL,CCU,8,38,0.676
UK,DEL,CCU,9,38,0.598
UK,DEL,CCU,10,38,0.679
UK,DEL,CCU,11,33,0.592
UK,DEL,CCU,12,36,0.774
UK,CCU,DEL,1,32,0.61
UK,CCU,DEL,2,35,0.567
UK,CCU,DEL,3,35,0.517
UK,CCU,DEL,4,36,0.505
UK,CCU,DEL,5,33,0.523
UK,CCU,DEL,6,33,0.561
UK,CCU,DEL,7,38,0.662
UK,CCU,DEL,8,38,0.639
UK,CCU,DEL,9,33,0.478
UK,CCU,DEL,10,38,0.629
UK,CCU,DEL,11,37,0.637
UK,CCU,DEL,12,33,0.586
UK,DEL,HYD,1,44,1.109
UK,DEL,HYD,2,40,0.793
UK,DEL,HYD,3,41,0.579
UK,DEL,HYD,4,42,0.659
UK,DEL,HYD,5,39,0.522
UK,DEL,HYD,6,41,0.565
UK,DEL,HYD,7,43,0.631
UK,DEL,HYD,8,43,0.59
UK,DEL,HYD,9,40,0.589
UK,DEL,HYD,10,36,0.441
UK,DEL,HYD,11,41,0.686
UK,DEL,HYD,12,40,0.755
UK,HYD,DEL,1,40,0.744
UK,HYD,DEL,2,41,0.655
UK,HYD,DEL,3,37,0.549
UK,HYD,DEL,4,43,0.666
UK,HYD,DEL,5,38,0.508
UK,HYD,DEL,6,37,0.598
UK,HYD,DEL,7,40,0.7
UK,HYD,DEL,8,39,0.573
UK,HYD,DEL,9,43,0.584
UK,HYD,DEL,10,37,0.493
UK,HYD,DEL,11,37,0.6
UK,HYD,DEL,12,40,0.714
UK,BOM,BLR,1,56,0.794
UK,BOM,BLR,2,54,0.806
UK,BOM,BLR,3,55,0.805
UK,BOM,BLR,4,60,0.892
UK,BOM,BLR,5,58,0.909
UK,BOM,BLR,6,59,1.098
UK,BOM,BLR,7,50,1.152
UK,BOM,BLR,8,55,1.173
UK,BOM,BLR,9,51,0.836
UK,BOM,BLR,10,55,0.84
UK,BOM,BLR,11,54,0.731
UK,BOM,BLR,12,55,0.686
UK,BLR,BOM,1,58,0.885
UK,BLR,BOM,2,52,0.637
UK,BLR,BOM,3,54,0.803
UK,BLR,BOM,4,51,0.629
UK,BLR,BOM,5,50,0.797
UK,BLR,BOM,6,50,0.833
UK,BLR,BOM,7,55,1.075
UK,BLR,BOM,8,53,0.891
UK,BLR,BOM,9,55,1.009
UK,BLR,BOM,10,57,0.804
UK,BLR,BOM,11,52,0.715
UK,BLR,BOM,12,52,0.666
UK,MAA,GOI,1,21,0.268
UK,MAA,GOI,2,20,0.253
UK,MAA,GOI,3,20,0.265
UK,MAA,GOI,4,22,0.309
UK,MAA,GOI,5,21,0.31
UK,MAA,GOI,6,19,0.36
UK,MAA,GOI,7,21,0.426
UK,MAA,GOI,8,19,0.315
UK,MAA,GOI,9,19,0.375
UK,MAA,GOI,10,20,0.337
UK,MAA,GOI,11,20,0.345
UK,MAA,GOI,12,19,0.358
UK,GOI,MAA,1,20,0.273
UK,GOI,MAA,2,18,0.267
UK,GOI,MAA,3,21,0.286
UK,GOI,MAA,4,22,0.28
UK,GOI,MAA,5,21,0.307
UK,GOI,MAA,6,20,0.341
UK,GOI,MAA,7,21,0.43
UK,GOI,MAA,8,22,0.386
UK,GOI,MAA,9,18,0.366
UK,GOI,MAA,10,20,0.364
UK,GOI,MAA,11,21,0.384
UK,GOI,MAA,12,19,0.272
SG,MAA,DEL,1,54,3.296
SG,MAA,DEL,2,66,3.562
SG,MAA,DEL,3,57,2.459
SG,MAA,DEL,4,62,2.563
SG,MAA,DEL,5,56,2.672
SG,MAA,DEL,6,62,2.827
SG,MAA,DEL,7,57,3.278
SG,MAA,DEL,8,61,3.031
SG,MAA,DEL,9,64,3.761
SG,MAA,DEL,10,62,3.827
SG,MAA,DEL,11,57,3.514
SG,MAA,DEL,12,66,5.4
SG,DEL,MAA,1,61,4.993
SG,DEL,MAA,2,63,4.052
SG,DEL,MAA,3,60,2.917
SG,DEL,MAA,4,60,2.708
SG,DEL,MAA,5,58,2.498
SG,DEL,MAA,6,64,2.997
SG,DEL,MAA,7,63,3.577
SG,DEL,MAA,8,56,3.113
SG,DEL,MAA,9,56,3.17
SG,DEL,MAA,10,58,3.413
SG,DEL,MAA,11,58,3.199
SG,DEL,MAA,12,56,4.068
SG,BOM,DEL,1,85,6.14
SG,BOM,DEL,2,85,4.944
SG,BOM,DEL,3,93,4.037
SG,BOM,DEL,4,98,4.2
SG,BOM,DEL,5,86,3.787
SG,BOM,DEL,6,97,6.07
SG,BOM,DEL,7,97,7.144
SG,BOM,DEL,8,90,5.476
SG,BOM,DEL,9,87,4.747
SG,BOM,DEL,10,87,3.832
SG,BOM,DEL,11,92,4.889
SG,BOM,DEL,12,85,6.245
SG,DEL,BOM,1,82,6.252
SG,DEL,BOM,2,85,5.85
SG,DEL,BOM,3,84,4.058
SG,DEL,BOM,4,99,4.358
SG,DEL,BOM,5,95,4.405
SG,DEL,BOM,6,97,6.779
SG,DEL,BOM,7,81,5.245
SG,DEL,BOM,8,86,4.829
SG,DEL,BOM,9,95,4.671
SG,DEL,BOM,10,82,4.335
SG,DEL,BOM,11,88,5.078
SG,DEL,BOM,12,92,7.578
SG,DEL,BLR,1,67,4.876
SG,DEL,BLR,2,77,5.286
SG,DEL,BLR,3,68,3.357
SG,DEL,BLR,4,65,2.662
SG,DEL,BLR,5,74,3.862
SG,DEL,BLR,6,66,3.072
SG,DEL,BLR,7,68,3.928
SG,DEL,BLR,8,64,2.935
SG,DEL,BLR,9,63,3.537
SG,DEL,BLR,10,75,3.355
SG,DEL,BLR,11,64,3.826
SG,DEL,BLR,12,68,4.568
SG,BLR,DEL,1,75,4.617
SG,BLR,DEL,2,73,4.433
SG,BLR,DEL,3,67,3.589
SG,BLR,DEL,4,67,3.422
SG,BLR,DEL,5,74,3.565
SG,BLR,DEL,6,72,3.648
SG,BLR,DEL,7,75,3.814
SG,BLR,DEL,8,69,3.835
SG,BLR,DEL,9,67,3.67
SG,BLR,DEL,10,64,2.838
SG,BLR,DEL,11,76,3.875
SG,BLR,DEL,12,65,3.607
SG,BLR,MAA,1,42,1.913
SG,BLR,MAA,2,46,2.472
SG,BLR,MAA,3,48,2.564
SG,BLR,MAA,4,44,1.993
SG,BLR,MAA,5,46,2.34
SG,BLR,MAA,6,46,2.468
SG,BLR,MAA,7,42,2.432
SG,BLR,MAA,8,48,2.412
SG,BLR,MAA,9,44,2.264
SG,BLR,MAA,10,45,2.628
SG,BLR,MAA,11,44,2.475
SG,BLR,MAA,12,48,2.797
SG,MAA,BLR,1,47,2.37
